#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,sway,"is the Wayland compositor (window manager)."
,swaybg,"sets wallpapers for Wayland."
,swaylock,"locks the screen securely."
,swayidle,"manages idle timeout and screen locking."
,xorg-xwayland,"provides X11 application compatibility on Wayland."
,waybar,"is the modular status bar for Wayland."
,rofi,"is an application launcher and switcher."
,foot,"is a fast Wayland-native terminal emulator."
,wl-clipboard,"provides clipboard utilities for Wayland."
,grim,"captures screenshots on Wayland."
,slurp,"selects regions for screenshots."
,wtype,"provides keyboard input simulation."
,wlr-randr,"configures display outputs on Wayland."
,xdg-desktop-portal-wlr,"enables screen sharing and desktop portals."
,brightnessctl,"controls screen brightness."
,polkit,"manages user policies."
,otf-libertinus,"provides the sans and serif fonts for Swarbs."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
,lf,"is an extensive terminal file manager that everyone likes."
,ueberzugpp,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in Swarbs."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"is the default browser of Swarbs."
,firefox-ublock-origin,"the best ad blocker in town."
,firefox-decentraleyes,"provides local CDN resources to improve privacy and speed."
,firefox-tridactyl,"vim bindings in your browser."
,firefox-dark-reader,"dark mode for every website."
A,firefox-extension-istilldontcareaboutcookies-bin,"removes annoying cookie banners"
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,abook,"is an offline addressbook usable by neomutt."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in Swarbs for generating in-terminal previews of websites, emails and HTML files."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance screenshot text extraction"
,tesseract-data-eng,"english language pack for OCR"
